subset,stage,variable,treated_mean,control_mean,smd
仅数学,after,technical_accuracy,0.9095,0.9182,-0.0311
仅代码,before,user_tokens,-0.002,0.002,-0.004
仅代码,before,turns,0.0128,-0.0127,0.0255
仅代码,before,ability_diff,0.5036,-0.4977,1.1566
仅代码,before,verbosity_diff,0.6583,-0.6506,1.7311
仅代码,before,format_tendency_diff,0.5535,-0.5471,1.318
仅代码,before,header_density_diff,0.0262,-0.0259,0.0522
仅代码,before,list_density_diff,-0.0475,0.0469,-0.0945
仅代码,before,bold_density_diff,0.2284,-0.2257,0.4662
仅代码,before,complexity,0.592,0.6034,-0.0232
仅代码,before,creativity,0.5204,0.526,-0.0113
仅代码,before,domain_knowledge,0.9488,0.949,-0.0009
仅代码,before,problem_solving,0.8175,0.8281,-0.0277
仅代码,before,real_world,0.798,0.8042,-0.0155
仅代码,before,specificity,0.8446,0.8501,-0.0153
仅代码,before,technical_accuracy,0.8718,0.8777,-0.0177
仅代码,after,user_tokens,-0.002,0.031,-0.0332
仅代码,after,turns,0.0128,-0.0403,0.0526
仅代码,after,ability_diff,0.5036,0.4708,0.0392
仅代码,after,verbosity_diff,0.6583,0.6647,-0.0085
仅代码,after,format_tendency_diff,0.5535,0.5507,0.0033
仅代码,after,header_density_diff,0.0262,-0.0397,0.0694
仅代码,after,list_density_diff,-0.0475,0.0111,-0.0609
仅代码,after,bold_density_diff,0.2284,0.0842,0.152
仅代码,after,complexity,0.592,0.5798,0.0249
仅代码,after,creativity,0.5204,0.4867,0.0675
仅代码,after,domain_knowledge,0.9488,0.9047,0.1696
仅代码,after,problem_solving,0.8175,0.7572,0.1478
仅代码,after,real_world,0.798,0.7201,0.1829
仅代码,after,specificity,0.8446,0.8196,0.0668
仅代码,after,technical_accuracy,0.8718,0.8498,0.0636
创意+指令,before,user_tokens,-0.0361,0.037,-0.0727
创意+指令,before,turns,0.0103,-0.0106,0.0209
创意+指令,before,ability_diff,0.3676,-0.3769,0.8018
创意+指令,before,verbosity_diff,0.4861,-0.4984,1.1305
创意+指令,before,format_tendency_diff,0.4351,-0.4462,0.9814
创意+指令,before,header_density_diff,-0.029,0.0297,-0.0587
创意+指令,before,list_density_diff,-0.0012,0.0013,-0.0025
创意+指令,before,bold_density_diff,0.1296,-0.1329,0.2647
创意+指令,before,complexity,0.5796,0.6038,-0.0492
创意+指令,before,creativity,0.9768,0.9683,0.0521
创意+指令,before,domain_knowledge,0.7156,0.7274,-0.0263
创意+指令,before,problem_solving,0.7991,0.8082,-0.0231
创意+指令,before,real_world,0.5873,0.6276,-0.0824
创意+指令,before,specificity,0.643,0.6989,-0.1191
创意+指令,before,technical_accuracy,0.4498,0.4643,-0.0292
创意+指令,after,user_tokens,-0.0347,0.006,-0.0682
创意+指令,after,turns,0.0108,0.0331,-0.0201
创意+指令,after,ability_diff,0.3599,0.3739,-0.0148
创意+指令,after,verbosity_diff,0.4763,0.4791,-0.0032
创意+指令,after,format_tendency_diff,0.425,0.4485,-0.0266
创意+指令,after,header_density_diff,-0.0312,-0.0324,0.0013
创意+指令,after,list_density_diff,-0.0016,0.0244,-0.0288
创意+指令,after,bold_density_diff,0.1212,0.0741,0.0482
创意+指令,after,complexity,0.5832,0.6159,-0.0666
创意+指令,after,creativity,0.9767,0.9751,0.0101
创意+指令,after,domain_knowledge,0.7185,0.6874,0.0681
创意+指令,after,problem_solving,0.8009,0.7838,0.0422
创意+指令,after,real_world,0.5894,0.5739,0.0315
创意+指令,after,specificity,0.647,0.6532,-0.013
创意+指令,after,technical_accuracy,0.4495,0.4526,-0.0062
创意+代码,before,user_tokens,0.0012,-0.0015,0.0027
创意+代码,before,turns,-0.0479,0.0611,-0.1069
创意+代码,before,ability_diff,0.3642,-0.4645,0.9024
创意+代码,before,verbosity_diff,0.4797,-0.6117,1.2992
创意+代码,before,format_tendency_diff,0.3777,-0.4816,0.9588
创意+代码,before,header_density_diff,0.0674,-0.086,0.1538
创意+代码,before,list_density_diff,0.0795,-0.1014,0.1769
创意+代码,before,bold_density_diff,0.2165,-0.2761,0.5105
创意+代码,before,complexity,0.4676,0.4771,-0.0188
创意+代码,before,creativity,0.8129,0.8073,0.0142
创意+代码,before,domain_knowledge,0.6043,0.5505,0.1087
创意+代码,before,problem_solving,0.5468,0.4862,0.1208
创意+代码,before,real_world,0.4604,0.4037,0.1143
创意+代码,before,specificity,0.446,0.4312,0.0298
创意+代码,before,technical_accuracy,0.4317,0.4128,0.0379
创意+代码,after,user_tokens,0.0221,-0.17,0.3056
创意+代码,after,turns,-0.0189,-0.0554,0.0368
创意+代码,after,ability_diff,0.2031,0.2602,-0.0632
创意+代码,after,verbosity_diff,0.248,0.2036,0.0674
创意+代码,after,format_tendency_diff,0.1841,0.0776,0.1345
创意+代码,after,header_density_diff,0.0646,0.0927,-0.0303
创意+代码,after,list_density_diff,0.0142,-0.0656,0.0758
创意+代码,after,bold_density_diff,0.1025,0.1248,-0.0239
创意+代码,after,complexity,0.4576,0.5678,-0.2208
创意+代码,after,creativity,0.7966,0.8559,-0.1564
创意+代码,after,domain_knowledge,0.6017,0.5932,0.0172
创意+代码,after,problem_solving,0.5169,0.5424,-0.0507
创意+代码,after,real_world,0.4492,0.5085,-0.1185
创意+代码,after,specificity,0.4237,0.4576,-0.068
创意+代码,after,technical_accuracy,0.4068,0.4492,-0.0854
指令+数学,before,user_tokens,-0.0084,0.0079,-0.0162
指令+数学,before,turns,0.0264,-0.0248,0.0511
指令+数学,before,ability_diff,0.469,-0.441,1.021
指令+数学,before,verbosity_diff,0.5789,-0.5444,1.358
指令+数学,before,format_tendency_diff,0.5554,-0.5223,1.2806
指令+数学,before,header_density_diff,0.0552,-0.0519,0.1074
指令+数学,before,list_density_diff,-0.0821,0.0772,-0.1596
指令+数学,before,bold_density_diff,0.1566,-0.1473,0.3065
指令+数学,before,complexity,0.9683,0.9817,-0.0855
指令+数学,before,creativity,0.5098,0.5,0.0195
指令+数学,before,domain_knowledge,0.9854,0.9839,0.0115
指令+数学,before,problem_solving,0.9829,0.9885,-0.0472
指令+数学,before,real_world,0.6732,0.6674,0.0122
指令+数学,before,specificity,0.9634,0.9702,-0.0377
指令+数学,before,technical_accuracy,0.9756,0.9725,0.0197
指令+数学,after,user_tokens,-0.0068,-0.0558,0.0579
指令+数学,after,turns,0.0284,-0.1387,0.1938
指令+数学,after,ability_diff,0.4631,0.4549,0.0093
指令+数学,after,verbosity_diff,0.5701,0.6148,-0.055
指令+数学,after,format_tendency_diff,0.5495,0.6062,-0.0707
指令+数学,after,header_density_diff,0.0553,-0.1117,0.1555
指令+数学,after,list_density_diff,-0.0811,0.053,-0.1294
指令+数学,after,bold_density_diff,0.1558,0.2213,-0.0642
指令+数学,after,complexity,0.9681,0.9902,-0.1547
指令+数学,after,creativity,0.5123,0.4314,0.1624
指令+数学,after,domain_knowledge,0.9853,0.9926,-0.0704
指令+数学,after,problem_solving,0.9828,0.9583,0.1453
指令+数学,after,real_world,0.6765,0.576,0.2086
指令+数学,after,specificity,0.9632,0.951,0.0604
指令+数学,after,technical_accuracy,0.9755,0.9877,-0.0912
指令+代码,before,user_tokens,-0.0202,0.0189,-0.0392
指令+代码,before,turns,0.0237,-0.0222,0.0456
指令+代码,before,ability_diff,0.4583,-0.4293,0.9905
指令+代码,before,verbosity_diff,0.5593,-0.5239,1.2881
指令+代码,before,format_tendency_diff,0.4009,-0.3755,0.8419
指令+代码,before,header_density_diff,-0.1228,0.115,-0.2392
指令+代码,before,list_density_diff,-0.1126,0.1054,-0.219
指令+代码,before,bold_density_diff,0.1124,-0.1053,0.2192
指令+代码,before,complexity,0.9058,0.9166,-0.0379
指令+代码,before,creativity,0.8453,0.8568,-0.0324
指令+代码,before,domain_knowledge,0.985,0.9868,-0.0155
指令+代码,before,problem_solving,0.9728,0.9706,0.0135
指令+代码,before,real_world,0.9522,0.9526,-0.0018
指令+代码,before,specificity,0.9827,0.975,0.0534
指令+代码,before,technical_accuracy,0.9653,0.9701,-0.0273
指令+代码,after,user_tokens,-0.0182,-0.0227,0.0045
指令+代码,after,turns,0.0066,-0.066,0.0834
指令+代码,after,ability_diff,0.4351,0.4626,-0.031
指令+代码,after,verbosity_diff,0.5334,0.5409,-0.009
指令+代码,after,format_tendency_diff,0.3823,0.3797,0.0027
指令+代码,after,header_density_diff,-0.109,-0.0768,-0.0356
指令+代码,after,list_density_diff,-0.081,-0.0554,-0.0275
指令+代码,after,bold_density_diff,0.0973,0.0417,0.0583
指令+代码,after,complexity,0.9081,0.9238,-0.0567
指令+代码,after,creativity,0.8447,0.838,0.0183
指令+代码,after,domain_knowledge,0.9857,0.9909,-0.0488
指令+代码,after,problem_solving,0.9733,0.9747,-0.009
指令+代码,after,real_world,0.9538,0.9571,-0.0162
指令+代码,after,specificity,0.9828,0.9867,-0.0311
指令+代码,after,technical_accuracy,0.9671,0.9624,0.0258
数学+代码,before,user_tokens,-0.046,0.0444,-0.0907
数学+代码,before,turns,-0.0091,0.0088,-0.0179
数学+代码,before,ability_diff,0.4414,-0.4264,0.9624
数学+代码,before,verbosity_diff,0.6288,-0.6075,1.5736
数学+代码,before,format_tendency_diff,0.533,-0.5149,1.231
数学+代码,before,header_density_diff,0.0027,-0.0026,0.0054
数学+代码,before,list_density_diff,-0.0145,0.014,-0.0285
数学+代码,before,bold_density_diff,0.1672,-0.1616,0.333
数学+代码,before,complexity,0.932,0.9386,-0.0266
数学+代码,before,creativity,0.2763,0.3051,-0.0633
数学+代码,before,domain_knowledge,0.9715,0.9894,-0.1295
数学+代码,before,problem_solving,0.886,0.8983,-0.0397
数学+代码,before,real_world,0.6535,0.661,-0.0158
数学+代码,before,specificity,0.9101,0.9174,-0.0259
数学+代码,before,technical_accuracy,0.9627,0.9703,-0.0423
数学+代码,after,user_tokens,-0.046,-0.0423,-0.0053
数学+代码,after,turns,-0.0091,-0.1437,0.1596
数学+代码,after,ability_diff,0.4414,0.5144,-0.0853
数学+代码,after,verbosity_diff,0.6288,0.6218,0.0093
数学+代码,after,format_tendency_diff,0.533,0.5053,0.0354
数学+代码,after,header_density_diff,0.0027,0.0121,-0.0105
数学+代码,after,list_density_diff,-0.0145,-0.1212,0.1099
数学+代码,after,bold_density_diff,0.1672,-0.0409,0.2305
数学+代码,after,complexity,0.932,0.8553,0.2506
数学+代码,after,creativity,0.2763,0.2675,0.0197
数学+代码,after,domain_knowledge,0.9715,0.943,0.1411
数学+代码,after,problem_solving,0.886,0.807,0.2201
数学+代码,after,real_world,0.6535,0.5921,0.1268
数学+代码,after,specificity,0.9101,0.864,0.1457
数学+代码,after,technical_accuracy,0.9627,0.9254,0.1626
创意+指令+代码,before,user_tokens,-0.0387,0.047,-0.084
创意+指令+代码,before,turns,-0.1056,0.1284,-0.2286
创意+指令+代码,before,ability_diff,0.4227,-0.5139,1.0568
创意+指令+代码,before,verbosity_diff,0.4526,-0.5502,1.1613
创意+指令+代码,before,format_tendency_diff,0.34,-0.4134,0.8067
创意+指令+代码,before,header_density_diff,0.0002,-0.0003,0.0005
创意+指令+代码,before,list_density_diff,-0.0769,0.0935,-0.1693
创意+指令+代码,before,bold_density_diff,0.0618,-0.0752,0.1365
创意+指令+代码,before,complexity,0.6129,0.7059,-0.1954
创意+指令+代码,before,creativity,0.9677,1.0,-0.2561
创意+指令+代码,before,domain_knowledge,0.7581,0.8431,-0.2122
创意+指令+代码,before,problem_solving,0.8387,0.8824,-0.1251
创意+指令+代码,before,real_world,0.629,0.7255,-0.2056
创意+指令+代码,before,specificity,0.7097,0.7647,-0.1241
创意+指令+代码,before,technical_accuracy,0.5968,0.6078,-0.0224
创意+指令+代码,after,user_tokens,0.0529,0.5003,-0.3394
创意+指令+代码,after,turns,-0.0582,-0.011,-0.0656
创意+指令+代码,after,ability_diff,0.2399,0.2347,0.0072
创意+指令+代码,after,verbosity_diff,0.2839,0.4499,-0.2178
创意+指令+代码,after,format_tendency_diff,0.1633,0.4765,-0.3791
创意+指令+代码,after,header_density_diff,-0.159,-0.0776,-0.0783
创意+指令+代码,after,list_density_diff,-0.1287,0.1274,-0.3055
创意+指令+代码,after,bold_density_diff,-0.0866,0.0211,-0.152
创意+指令+代码,after,complexity,0.6809,0.766,-0.1891
创意+指令+代码,after,creativity,1.0,1.0,0.0
创意+指令+代码,after,domain_knowledge,0.8085,0.8936,-0.2382
创意+指令+代码,after,problem_solving,0.8936,1.0,-0.4827
创意+指令+代码,after,real_world,0.7447,0.8936,-0.3902
创意+指令+代码,after,specificity,0.7447,0.8723,-0.3253
创意+指令+代码,after,technical_accuracy,0.6596,0.7447,-0.1849
指令+数学+代码,before,user_tokens,-0.0321,0.0309,-0.0635
指令+数学+代码,before,turns,-0.0064,0.0061,-0.0125
指令+数学+代码,before,ability_diff,0.4399,-0.4238,0.9571
指令+数学+代码,before,verbosity_diff,0.5864,-0.5649,1.4082
指令+数学+代码,before,format_tendency_diff,0.4897,-0.4718,1.0959
指令+数学+代码,before,header_density_diff,-0.0701,0.0675,-0.1379
指令+数学+代码,before,list_density_diff,-0.0232,0.0223,-0.0455
指令+数学+代码,before,bold_density_diff,0.1619,-0.156,0.3219
指令+数学+代码,before,complexity,0.9896,1.0,-0.1446
指令+数学+代码,before,creativity,0.6851,0.7267,-0.0911
指令+数学+代码,before,domain_knowledge,0.9965,1.0,-0.0832
指令+数学+代码,before,problem_solving,0.9931,1.0,-0.1179
指令+数学+代码,before,real_world,0.9204,0.9167,0.0137
指令+数学+代码,before,specificity,0.9965,0.9967,-0.0022
指令+数学+代码,before,technical_accuracy,0.9896,0.9967,-0.0853
指令+数学+代码,after,user_tokens,-0.043,-0.0522,0.0179
指令+数学+代码,after,turns,0.0142,-0.021,0.0325
指令+数学+代码,after,ability_diff,0.3824,0.4841,-0.1137
指令+数学+代码,after,verbosity_diff,0.518,0.5233,-0.0073
指令+数学+代码,after,format_tendency_diff,0.4298,0.3278,0.1302
指令+数学+代码,after,header_density_diff,-0.0756,0.0765,-0.142
指令+数学+代码,after,list_density_diff,-0.008,-0.138,0.1382
指令+数学+代码,after,bold_density_diff,0.1323,0.0716,0.0672
指令+数学+代码,after,complexity,1.0,1.0,0.0
指令+数学+代码,after,creativity,0.6861,0.6971,-0.0237
指令+数学+代码,after,domain_knowledge,1.0,1.0,0.0
指令+数学+代码,after,problem_solving,1.0,1.0,0.0
指令+数学+代码,after,real_world,0.9234,0.9088,0.0526
指令+数学+代码,after,specificity,1.0,1.0,0.0
指令+数学+代码,after,technical_accuracy,0.9927,1.0,-0.121
