model,scheme,path,estimate,se,ci_low,ci_high,p_value,p_holm
alternative_format,HC0,length_to_bold_density_diff,0.13943392269502322,0.006089621069105701,0.12749848472007974,0.1513693606699667,4.9796711490134217e-116,1.9918684596053687e-115
alternative_format,HC0,header_density_diff_to_choice,0.029812842354686703,0.00956700669126571,0.011061853799952202,0.04856383090942121,0.0018318913925121191,0.0036637827850242383
alternative_format,HC0,list_density_diff_to_choice,-0.012746285269778663,0.008694782094106346,-0.02978774502765085,0.004295174488093528,0.14265659899381541,0.14265659899381541
alternative_format,HC0,bold_density_diff_to_choice,0.055301125902200376,0.01062852149762506,0.034469606557945544,0.07613264524645522,1.9600466861897592e-07,5.880140058569278e-07
alternative_format,HC0,log_token_ratio_to_choice,0.48164782185068145,0.012485632170667959,0.4571764324719576,0.5061192112294053,0.0,0.0
alternative_format,prompt_first,length_to_header_density_diff,0.15400580056889468,0.0043770702991965844,0.14542676354589376,0.1625848375918956,5.113022498074383e-269,3.06781349884463e-268
alternative_format,prompt_first,length_to_list_density_diff,0.13479677802377119,0.005454962820463419,0.12410507677226534,0.14548847927527703,2.786717079627033e-134,1.3933585398135164e-133
alternative_format,prompt_first,length_to_bold_density_diff,0.13943392269502322,0.006131022647191981,0.12741714739014143,0.15145069799990502,4.121773060023984e-114,1.6487092240095935e-113
alternative_format,prompt_first,header_density_diff_to_choice,0.029812842354686703,0.009597561700578714,0.011001666949321701,0.04862401776005171,0.001895185089303016,0.003790370178606032
alternative_format,prompt_first,list_density_diff_to_choice,-0.012746285269778663,0.008707245138001895,-0.029812444435870694,0.004319873896313371,0.14323329099695728,0.14323329099695728
alternative_format,prompt_first,bold_density_diff_to_choice,0.055301125902200376,0.010633355107629859,0.03445980033248844,0.07614245147191231,1.9902966579015085e-07,5.970889973704526e-07
alternative_format,prompt_first,log_token_ratio_to_choice,0.48164782185068145,0.01267433337453224,0.45680618855959026,0.5064894551417726,0.0,0.0
alternative_format,prompt_sequence,length_to_header_density_diff,0.15400580056889468,0.004375022101416351,0.14543077863394718,0.16258082250384218,2.8238559012280313e-269,1.6943135407368186e-268
alternative_format,prompt_sequence,length_to_list_density_diff,0.13479677802377119,0.005447476064442201,0.12411975156313436,0.145473804484408,1.202953938334022e-134,6.01476969167011e-134
alternative_format,prompt_sequence,length_to_bold_density_diff,0.13943392269502322,0.006124931863046696,0.12742908618032742,0.15143875920971903,2.459961834139005e-114,9.83984733655602e-114
alternative_format,prompt_sequence,header_density_diff_to_choice,0.029812842354686703,0.009596092735896004,0.011004547495225458,0.048621137214147944,0.0018921366702594933,0.0037842733405189866
alternative_format,prompt_sequence,list_density_diff_to_choice,-0.012746285269778663,0.008713069316868459,-0.02982385854390615,0.004331288004348828,0.14350087280982776,0.14350087280982776
alternative_format,prompt_sequence,bold_density_diff_to_choice,0.055301125902200376,0.01063064259001008,0.03446511838525268,0.07613713341914807,1.9761153337962927e-07,5.928346001388878e-07
alternative_format,prompt_sequence,log_token_ratio_to_choice,0.48164782185068145,0.012680309798850695,0.45679447662258005,0.5065011670787829,0.0,0.0
alternative_format,model_pair,length_to_header_density_diff,0.15400580056889468,0.008367369782620288,0.13758949934445613,0.17042210179333322,7.857748096523178e-67,4.714648857913907e-66
alternative_format,model_pair,length_to_list_density_diff,0.13479677802377119,0.00768378347574576,0.1197216340587934,0.14987192198874896,1.64344278846841e-61,8.21721394234205e-61
alternative_format,model_pair,length_to_bold_density_diff,0.13943392269502322,0.008286215098455885,0.12317684232201451,0.15569100306803194,3.289401145062123e-57,1.315760458024849e-56
alternative_format,model_pair,header_density_diff_to_choice,0.029812842354686703,0.009813150443415417,0.010560002116354113,0.04906568259301929,0.00243260300592193,0.00486520601184386
alternative_format,model_pair,list_density_diff_to_choice,-0.012746285269778663,0.009155794483411084,-0.0307094306898512,0.0052168601502938765,0.16413339573845295,0.16413339573845295
alternative_format,model_pair,bold_density_diff_to_choice,0.055301125902200376,0.011108653763602993,0.03350658220220967,0.07709566960219108,7.354777629219974e-07,2.206433288765992e-06
alternative_format,model_pair,log_token_ratio_to_choice,0.48164782185068145,0.01381108931548658,0.45455125407240743,0.5087443896289554,1.3819431425274204e-184,9.673601997691943e-184
