model,scheme,n,feature,beta,se,odds_ratio,ci_low,ci_high,p_value,log_p_value,p_holm
single_turn,HC0,67608,header_density_diff,0.020915542726420596,0.010136822068778839,1.02113580564943,1.0010482856216092,1.0416264115889533,0.039081907122669624,-3.242095652520531,0.19540953561334812
single_turn,HC0,67608,list_density_diff,-0.011043380027163917,0.009353612027257938,0.9890173742442152,0.9710511613616631,1.007315994746659,0.23774017797565017,-1.4365768908152745,0.7132205339269505
single_turn,HC0,67608,bold_density_diff,0.05582016129643948,0.011293868999688627,1.0574075038416448,1.0342583344870997,1.08107480684224,7.711961550359933e-07,-14.075323079352346,5.398373085251954e-06
single_turn,prompt_first,67608,log_token_ratio,0.4887829242153914,0.013550431717754989,1.630330775874286,1.5876009981048143,1.6742106120717932,4.021700568185445e-282,-647.9372913842288,4.4238706250039894e-281
single_turn,prompt_first,67608,header_density_diff,0.020915542726420596,0.010170117562480535,1.02113580564943,1.0009825891490518,1.0416947755961856,0.03973174721179904,-3.2256047329819197,0.1986587360589952
single_turn,prompt_first,67608,list_density_diff,-0.011043380027163917,0.00937340710037586,0.9890173742442152,0.9710131548129581,1.0073554222294132,0.23873686127442695,-1.432393332446876,0.7162105838232808
single_turn,prompt_first,67608,bold_density_diff,0.05582016129643948,0.011296418752930564,1.0574075038416448,1.0342527386808247,1.0810806559784925,7.775501747174589e-07,-14.067117661576551,5.442851223022212e-06
single_turn,prompt_sequence,67608,log_token_ratio,0.4887829242153914,0.013550431717754989,1.630330775874286,1.5876009981048143,1.6742106120717932,4.021700568185445e-282,-647.9372913842288,4.4238706250039894e-281
single_turn,prompt_sequence,67608,header_density_diff,0.020915542726420596,0.010170117562480535,1.02113580564943,1.0009825891490518,1.0416947755961856,0.03973174721179904,-3.2256047329819197,0.1986587360589952
single_turn,prompt_sequence,67608,list_density_diff,-0.011043380027163917,0.00937340710037586,0.9890173742442152,0.9710131548129581,1.0073554222294132,0.23873686127442695,-1.432393332446876,0.7162105838232808
single_turn,prompt_sequence,67608,bold_density_diff,0.05582016129643948,0.011296418752930564,1.0574075038416448,1.0342527386808247,1.0810806559784925,7.775501747174589e-07,-14.067117661576551,5.442851223022212e-06
single_turn,model_pair,67608,log_token_ratio,0.4887829242153914,0.014305247653853603,1.630330775874286,1.5852098917687063,1.6767359657320822,3.128673143468828e-179,-411.0221226470845,3.4415404578157105e-178
single_turn,model_pair,67608,header_density_diff,0.020915542726420596,0.010299790475614929,1.02113580564943,1.0007081761844177,1.0419804278556737,0.04250813274365313,-3.1580598626843104,0.21254066371826563
single_turn,model_pair,67608,list_density_diff,-0.011043380027163917,0.009942163342089251,0.9890173742442152,0.969912563156724,1.00849850152819,0.26689338329330203,-1.3209060138369884,0.8006801498799061
single_turn,model_pair,67608,bold_density_diff,0.05582016129643948,0.011868000433083645,1.0574075038416448,1.0330708797556163,1.0823174392885018,2.8553189494015025e-06,-12.766327005018493,1.9987232645810518e-05
month,HC0,78959,log_token_ratio,0.48209208019064437,0.012490455921958512,1.6194588985207516,1.5802945226900076,1.659593883508326,0.0,-748.737510754811,0.0
month,HC0,78959,header_density_diff,0.027734525826080998,0.009541200674880514,1.028122708162318,1.0090750469262013,1.0475299198596923,0.0036512654998307145,-5.612681459196164,0.025558858498815
month,HC0,78959,list_density_diff,-0.012971272202248097,0.008776831960860234,0.987112492181,0.9702771304993573,1.0042399656666239,0.13943478280311583,-1.9701582938237876,0.6971739140155792
month,HC0,78959,bold_density_diff,0.054086099502461286,0.01061812933131307,1.0555754827665127,1.0338347514093458,1.0777734045975926,3.5104905076428186e-07,-14.86233987747689,3.5104905076428185e-06
month,prompt_first,78959,log_token_ratio,0.48209208019064437,0.012679009937886128,1.6194588985207516,1.5797099920521676,1.660207973104621,0.0,-inf,0.0
month,prompt_first,78959,header_density_diff,0.027734525826080998,0.009572511314838194,1.028122708162318,1.0090128221371124,1.0475945199588166,0.0037648614180081624,-5.58204422637367,0.026354029926057135
